mchi1,mchipm1,Final_CLs,exclusion
462.566088,462.687665,0.686,1
185.847565,379.755925,0.411,1
465.138554,468.730123,0.828,1
572.609909,713.612575,0.913,1
305.278569,308.618356,0.52,1
1538.0945,1538.18171,1.0,1
191.960556,194.315572,0.055242732,1
532.42722,1102.83199,0.582,1
93.4117845,93.5898797,0.0,0
301.851922,307.99472,0.473,1
148.257478,327.065772,0.295,1
434.899434,438.057473,0.746,1
183.089582,183.138305,0.0329,0
394.948523,690.769093,0.642,1
192.958576,632.261286,0.052,1
376.539409,376.828729,0.413,1
1130.2216,1130.46546,1.0,1
528.961483,533.95587,0.478,1
149.114422,150.827728,0.284,1
1144.21774,1181.76942,1.0,1
367.884228,370.056493,1.0,1
1021.53255,1458.13572,1.0,1
992.14851,996.546529,0.905,1
1623.98212,1624.60351,1.0,1
826.561294,826.996146,0.808,1
734.311061,735.055009,1.0,1
867.765506,1135.05771,0.998,1
132.176207,866.486485,0.0728,1
468.006405,468.13128,0.0,0
1018.61093,1177.75088,1.0,1
102.792155,102.974247,0.0,0
319.649764,319.819375,0.0,0
183.899267,187.673138,0.009624715,0
299.104278,787.495162,0.219,1
151.315758,152.501204,0.714,1
98.0972309,103.67387,0.0187,0
392.413663,437.994516,0.815,1
565.144901,822.312598,0.843,1
255.410908,679.353253,0.23819923,1
310.205727,310.382088,0.0,0
225.450596,225.670091,0.0337,0
483.531326,483.624931,0.922,1
178.706785,178.943625,0.0213,0
733.920465,736.175605,0.836,1
622.913975,631.990037,1.0,1
484.518447,486.756774,0.775,1
1500.05863,1500.0699,1.0,1
300.938257,459.631603,0.793,1
153.658135,153.850922,0.0,0
146.71007,1260.33028,1.0,1
589.568836,592.479926,0.431,1
407.701751,992.378059,0.417,1
407.190805,408.898809,0.802,1
347.93572,350.348612,0.391,1
209.320477,1595.16972,1.0,1
783.338616,786.14295,1.0,1
331.040241,331.212513,0.0,0
461.113614,461.23579,1.0,1
135.131808,136.727702,0.772,1
372.165661,374.743671,0.358,1
537.904259,537.977448,1.0,1
497.393183,500.537275,0.578,1
1034.78723,1035.44306,1.0,1
852.45315,853.909048,1.0,1
847.798187,848.782932,1.0,1
488.443409,488.54245,0.308,1
1313.04447,1315.65747,1.0,1
507.038885,507.255297,0.442,1
727.012195,1574.73562,1.0,1
146.104456,146.307501,0.0204,0
469.37743,469.497422,0.0,0
351.356641,1339.04371,1.0,1
105.335836,110.119508,0.00459,0
185.365741,193.991843,0.10980911,1
190.005281,190.193259,0.0,0
396.855168,399.04592,1.0,1
883.467471,987.804682,0.937,1
751.287736,799.395711,0.894,1
145.042357,149.142733,0.256,1
913.269417,1519.61384,1.0,1
1290.57204,1290.61752,1.0,1
556.773945,967.598284,0.387,1
1195.20552,1206.89839,1.0,1
267.634611,1409.057,1.0,1
963.756177,1086.66415,0.999,1
255.1213,255.302606,0.0,0
445.769275,448.445473,0.844,1
432.599562,436.782547,0.757,1
456.375149,1373.96238,1.0,1
1634.13328,1635.11077,1.0,1
977.281847,1012.49056,1.0,1
812.768731,954.038388,0.998,1
564.224975,567.636663,0.858,1
397.948656,427.819927,0.89099175,1
454.896875,457.228027,0.898,1
187.936845,192.96347,0.0613,1
471.887837,472.003091,1.0,1
360.760322,361.743625,1.0,1
858.757897,1816.33031,1.0,1
1210.42104,1729.90485,1.0,1
424.085168,714.468352,0.652,1
711.378004,713.548995,0.697,1
323.985728,954.041457,0.0452,0
246.180418,250.745368,0.169,1
315.430317,317.784865,1.0,1
550.938033,554.35151,0.846,1
144.529113,144.720258,0.0,0
594.653844,596.518071,0.659,1
101.326238,108.262629,0.00558,0
486.022876,947.499372,0.497,1
1046.44038,1046.56019,1.0,1
289.239331,1400.68287,1.0,1
429.849728,430.152388,0.843,1
844.530995,845.035756,1.0,1
213.171641,213.566503,0.279,1
434.2775,435.987235,0.335,1
1641.6449,1729.83006,1.0,1
524.935195,526.788471,0.942,1
507.05472,1117.91119,0.473,1
116.637527,116.822393,0.0,0
551.885872,551.96252,1.0,1
1.23355106,1162.58488,0.744,1
492.230583,492.372963,0.0,0
516.294453,516.736291,0.862,1
852.387034,1311.18153,1.0,1
32.7036054,1471.88698,1.0,1
66.7190876,1291.83901,1.0,1
793.253539,931.498988,0.997,1
308.324368,312.00123,0.31543744,1
260.435493,260.624331,0.726,1
530.159871,532.879008,0.219,1
249.944891,252.528263,0.158,1
591.21675,592.223601,1.0,1
933.466985,934.222838,1.0,1
135.071488,141.032423,0.0191,0
1221.71873,1760.13535,1.0,1
120.498785,120.589487,0.00657,0
476.58511,478.162946,0.562,1
206.778402,207.223684,0.445,1
126.827855,132.469593,0.0119,0
121.341099,128.491557,0.35,1
317.474455,317.647981,0.0,0
793.152675,797.481955,1.0,1
34.3749355,1592.68407,1.0,1
308.61554,310.326979,0.427,1
124.501329,124.718291,0.0,0
269.160894,269.349219,0.685,1
238.584512,242.749704,0.0865,1
113.104887,115.32006,0.882,1
1368.6321,1380.35781,1.0,1
445.264074,445.393141,0.0,0
49.3496264,856.513655,0.19,1
184.913816,185.109243,0.0,0
803.776823,998.701933,0.936,1
765.309192,1141.50034,0.873,1
677.058752,677.157594,0.899,1
474.523943,474.640482,0.0,0
480.408574,921.120056,0.493,1
205.111628,206.423821,0.904,1
361.704113,785.884355,0.351,1
1220.63425,1252.03243,1.0,1
1317.10328,1321.45806,1.0,1
1063.64897,1065.33317,1.0,1
579.888959,583.6022,0.878,1
323.060674,757.553843,0.232,1
1017.14399,1017.89806,1.0,1
718.525766,721.850675,0.828,1
1038.07826,1040.44432,1.0,1
300.90977,302.065541,1.0,1
808.272481,809.40531,0.97,1
562.03755,562.094687,1.0,1
295.735632,299.639135,0.255,1
799.950082,804.839574,1.0,1
227.613815,533.444534,0.566764,1
823.903021,824.591238,0.81,1
827.481102,828.587325,0.755,1
208.138245,958.255088,0.29,1
507.678352,507.776928,0.916,1
306.670784,489.36095,0.677,1
135.305985,904.89313,0.0952,1
1457.44144,1538.8491,1.0,1
622.869439,896.742267,0.949,1
121.252417,410.294034,0.00284879,0
1557.69503,1634.28243,1.0,1
347.004933,1164.3003,0.621,1
1263.11183,1449.72458,1.0,1
405.039819,412.2797,0.954,1
163.348862,936.655893,0.213,1
1107.54614,1435.4834,1.0,1
609.424257,689.334305,0.937,1
340.386243,1764.58023,1.0,1
97.4793697,949.261396,0.18,1
1411.14707,1766.48695,1.0,1
560.494867,567.251856,0.909,1
234.671743,235.583158,0.42,1
97.5253489,97.7051445,0.0,0
573.844467,573.908526,0.798,1
594.743829,633.07497,0.904,1
479.811491,480.585558,1.0,1
848.460508,855.341586,1.0,1
302.646152,304.260637,0.0,0
1156.36264,1210.80642,1.0,1
